Data_x,Data_y,Fit_y,LiFe(II)PO4_y,Pyrite_y,StainlessSteelNP_y,Hematite_NP_y
7075.6,2.300332805,1.244027491,1.237491581,-0.075647654,-0.161533595,0.243717158
7081,2.872172044,1.244027491,1.237491581,-0.075647654,-0.161533595,0.243717158
7086,3.539920889,1.244027491,1.237491581,-0.075647654,-0.161533595,0.243717158
7090.8,4.428800353,1.036170541,1.061223379,-0.085117281,-0.148813277,0.208877721
7096,5.872787516,0.033629733,0.058500858,-0.020769788,-0.019976929,0.015875592
7100.9,8.087270945,-0.120625163,-0.260159108,0.066557508,0.153338153,-0.080361715
7105.9,11.72801608,2.59348544,0.947971346,0.484177929,1.096001932,0.065334233
7107,12.34837388,3.771721233,1.348087704,0.653172594,1.598237915,0.17222302
7108,14.7197926,5.30748123,1.986239205,0.852365844,2.14143385,0.327442331
7109,16.99770177,7.603799099,2.92359615,1.076382811,3.129077554,0.474742586
7109.9,20.23793939,11.05971205,4.148139359,1.476412333,4.76386887,0.671291487
7111,26.95158709,20.83010164,7.305140095,2.585933685,9.901804169,1.037223692
7112,46.12460988,48.12290973,15.15919526,5.15126955,25.94521133,1.86723359
7113,71.11994676,76.82380058,21.10715351,9.916900256,40.97638499,4.823361823
7114,78.55237047,90.38106838,18.25792703,13.1963327,50.70515069,8.221657965
7115,85.25812642,101.8622747,18.75235261,13.33179869,58.83492619,10.94319721
7115.9,87.52746252,105.5643802,20.30239058,13.25273101,62.82395436,9.185304213
7116.9,104.4569161,119.5957782,27.28825823,17.9701338,65.03681924,9.300566915
7118,161.8194599,162.2270872,46.45188824,37.43892091,68.04524834,10.29102973
7118.9,236.9960243,228.7167593,81.73406511,61.30519505,74.62686087,11.05063828
7120,345.109188,345.3052311,167.5099906,78.25104545,85.48113133,14.06306375
7121,480.9378814,482.3269668,277.6051891,88.54527185,95.65304556,20.52346024
7121.9,592.4137932,600.304708,375.9608778,87.75321445,104.5857416,32.00487415
7123,737.5954994,748.5585945,492.1261539,84.69726364,114.2594962,57.47568077
7124,864.9931013,880.3863252,587.4126467,85.8656047,121.6586042,85.44946948
7125,993.0489019,999.5461123,674.2072026,87.83120692,128.9897067,108.5179961
7126,1086.473974,1097.651996,737.7349558,88.94997796,135.8576068,135.1094555
7126.9,1154.807911,1161.158277,766.7899737,88.87352875,140.8323737,164.6624007
7128,1209.821926,1201.061721,763.5079002,91.50587792,146.1246656,199.9232774
7129,1200.128343,1186.886658,710.9812255,96.40897483,150.4122116,229.0842456
7130,1148.43837,1141.753438,639.1683993,100.4398684,153.6351817,248.5099884
7131,1116.36754,1109.996388,595.0546407,104.9521394,156.0412667,253.9483413
7131.9,1100.899476,1100.438272,577.2005408,109.3332144,156.5205556,257.3839615
7133,1075.654578,1085.378357,550.0563938,113.9018134,154.6548755,266.7652744
7134,1037.740313,1062.940287,522.5021856,116.9917762,152.7272944,270.7190304
7134.9,1021.103227,1046.404418,510.8299498,119.0497161,151.3090953,265.2156564
7136,1002.470262,1023.716002,500.4407053,120.9954933,149.7482302,252.5315735
7137,997.5023936,1006.656892,492.6464797,122.747122,148.4019013,242.8613888
