Data_x,Data_y,Fit_y,LiFe(II)PO4_y,Pyrite_y,StainlessSteelNP_y,Hematite_NP_y
7138,982.2358672,994.5052338,486.8787446,123.5573406,147.8411019,236.2280467
7139,979.8394623,981.6901269,482.1725137,123.3097204,147.6240471,228.5838456
7139.9,987.5227062,970.5402188,479.0952279,123.3143721,148.0250574,220.1055615
7141,960.9573483,955.8076339,473.8386794,123.3186764,148.8589295,209.7913487
7142,940.5217806,940.9890772,466.9724145,123.1068037,149.123771,201.786088
7143,925.2193257,925.9715367,458.8827115,122.453943,148.8784351,195.7564471
7144,900.9759026,909.864766,449.030477,120.8219151,148.4187463,191.5936276
7145,887.8809888,897.5023113,440.580511,118.9717377,148.0517063,189.8983564
7146,885.5664192,889.0003245,434.1950963,116.7463309,148.2659603,189.7929371
7147,865.5832268,882.1383954,428.1576328,114.7848836,149.024653,190.1712259
7148,872.1461211,875.7075194,422.5215733,113.4126545,150.258816,189.5144755
7148.9,858.5877924,868.0357985,417.1159999,112.2916953,151.495419,187.1326842
7149.9,855.694472,856.820248,410.0695994,111.225046,152.6187544,182.9068482
7151,835.2805764,844.5809461,403.2560683,110.0202268,153.5744032,177.7302478
7151.9,828.11225,836.0101969,398.8928017,108.9853653,154.3611638,173.7708661
7153,834.3746034,828.5873485,395.9038282,107.773355,155.3679875,169.5421778
7154,830.8478238,825.0032642,395.8146855,106.7583148,156.2872115,166.1430524
7154.9,821.2972696,823.1594389,396.9511592,105.9739504,156.9834852,163.2508441
7156,826.0201487,822.0851855,399.4671383,105.245386,157.5508276,159.8218336
7157,829.1744076,822.3091684,402.925854,104.6068901,157.937791,156.8386334
7158,833.4939274,823.7816459,407.4545776,103.8989429,158.2122059,154.2159196
7159,827.3016037,827.3502994,413.8014382,102.9311103,158.3476297,152.2701212
7160,833.6964426,833.0729707,421.886664,101.6357208,158.4301672,151.1204187
7160.9,848.3597908,839.2392392,429.7106377,100.3539739,158.4296639,150.7449637
7162,857.3554686,847.2313924,439.3760138,98.75810565,158.1054637,150.9918092
7163,860.3788923,855.2383801,448.3513304,97.69698069,157.4316045,151.7584645
7163.9,870.3685284,863.3230414,456.603563,97.28075254,156.6655696,152.7731562
7165,873.851359,873.528765,466.3666813,97.18328262,155.6821259,154.2966751
7165.6,881.1195051,878.7288077,470.7237871,97.69271079,155.0811146,155.2311952
7171,925.6683562,915.6653832,493.7190677,102.7391272,150.8228458,168.3843425
7175.7,949.1312774,934.5587776,495.3260405,103.9304525,147.2451397,188.0571449
7180.6,953.3042942,934.4684247,487.1374504,107.5427256,144.1606144,195.6276343
7186,946.6782255,926.2398276,475.6508476,110.1322688,145.5922401,194.8644711
7190.7,936.8663038,911.694178,456.7846425,112.1162434,149.9054163,192.8878758
7196,928.5901251,895.6037908,438.3725923,115.4828079,153.4809918,188.2673988
