,0
0,0.1376311586904013
1,0.11782027480306749
2,0.09480349492406691
3,0.08918200939892228
4,0.073531723402256
5,0.06781517076418916
6,0.0623298938718764
7,0.059812391724908154
8,0.05815647448347207
9,0.053427876806094204
10,0.052041768764357794
11,0.05037312545897208
12,0.04539488043600419
13,0.04443647898310807
14,0.04161763105200564
15,0.04199064916507865
16,0.04131316253371684
17,0.036440398706962675
18,0.03622253002642948
19,0.033812986508813155
